Kennbuchstabe,Klassendefinition,Klassenname,Beispiele
B,Objekt zur Erfassung und Darstellung von Informationen,Erkennungsobjekt,
BA,Erkennungsobjekt für elektrisches Potential,Objekt zur Erkennung von elektrischem Potential,
BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,"Kopplungskondensator, Spannungswandler für Messzwecke"
BAB,"Objekt zur Erkennung von elektrischem Potential, mit Booleschem Ausgang",Spannungsrelais,Messspannungsrelais
BB,Erkennungsobjekt für Widerstand oder Leitfähigkeit,Objekt zur Erkennung von Widerstand,
BBA,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Skalarausgang",Messgerät für elektrischen Widerstand,
BBB,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Booleschem Ausgang",Detektor für elektrischen Widerstand,
BBC,"Widerstanderkennungsobjekt für Wärmefluss, mit Skalarausgang",Messgerät für thermischen Widerstand,
BBD,"Widerstanderkennungsobjekt für Wärmefluss, mit Booleschem Ausgang",Detektor für thermischen Widerstand,
BC,Erkennungsobjekt für elektrischen Strom,Objekt zur Erkennung von elektrischem Strom,
BCA,"Objekt zur Erkennung von elektrischem Strom, mit Skalarausgang",Stromwandler,Messstromwandler
BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,"elektronisches Überlastrelais, Messstromrelais, Überlastrelais"
BD,Erkennungsobjekt für Dichte,Dichteerkennungsobjekt,
BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,"Senkwaage, Dichtesensor, Hydrometer"
BDB,"Dichteerkennungsobjekt, mit Booleschem Ausgang",Dichteschalter,Dichtesensor
BE,Erkennungsobjekt für Spannungsfeld,Spannungsfelderkennungsobjekt,
BEA,"Felderkennungsobjekt für elektrische Felder, mit Skalarausgang",Elektrischer Feldsensor,
BEB,"Felderkennungsobjekt für elektrische Felder, mit Booleschem Ausgang",Elektrischer Felddetektor,
BEC,"Felderkennungsobjekt für Magnetfelder, mit Skalarausgang",Magnetfeldsensor,
BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,"Reedrelais, Reedschalter"
BF,Erkennungsobjekt für Durchfluss,Durchflusserkennungsobjekt,
BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,"Durchflusssensor, Gasflusssensor, Flüssigkeitsflusssensor, Feststoff-flusssensor, Wasserflusssensor"
BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,"Gasflussschalter, Feststofffluss-schalter"
BG,Erkennungsobjekt für räumliche Dimension und/oder Position,Objekt zur Erkennung von physikalischen Dimensionen,
BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,"Positionssensor, Präsenzdetektor, Radar, Windrichtungssensor"
BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,"Bewegungsdetektor, Bewegungs-sensor (PIR), Positionssensor, Präsenzdetektor"
BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,"Laserdistanzsensor, Positions-sensor, Sichtbarkeitssensor"
BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,"Laserdistanzsensor, Laserdistanz-Erkennungsschalter, Bewegungs-detektor, Bewegungssensor (PIR), Positionssensor, Präsenzdetektor, Sichtbarkeitsdetektor"
BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,"Ausrichtungssensor, Anschlag, Positionssensor, Positions-messwertgeber, Drehgeber, Anzeigeeinrichtung, Windrich-tungsanzeige"
BGF,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Booleschem Ausgang",Winkelschalter,"Ausrichtungsschwellendetektor, Bewegungsdetektor, Bewegungs-sensor (PIR), Positionssensor, Präsenzdetektor, Radar"
BGG,Objekt zur Erkennung physikalischer Dimensionen für physikalische Objekte,Objektscanner,"2D-Scanner, 3D-Scanner, Koordinatenscanner, Laserscanner"
BH,Erkennungsobjekt für Energie,Energieerkennungsobjekt,
BHA,Energieerkennungsobjekt für Durchflüsse mit einer definierten Energiedichte,Durchflussenergiemessgerät,"Kühlungsengergie-Messgerät, Energiezähler, Energiesensor, Gasenergiezähler"
BHB,Energieerkennungsobjekt für thermische Durchflüsse mit einer definierten Wärmekapazität,Wärmeenergiemessgerät,"Kondensatsensor, Energieküh-lungsmessgerät, Energiezähler, Energiesensor"
BHC,Energieerkennungsobjekt für Stromflüsse,Stromflussmessgerät,kWh-Sensor
BJ,Erkennungsobjekt für Leistung,Leistungserkennungsobjekt,
BJA,"Leistungserkennungsobjekt, mit Skalarausgang",Leistungsmessgerät,kW-Zähler
BJB,"Leistungserkennungsobjekt, mit Booleschem Ausgang",Leistungsbegrenzungsschalter,
BK,Erkennungsobjekt für Zeit,Zeiterkennungsobjekt,
BKA,"Zeiterkennungsobjekt, mit Skalarausgang",Zeitmessgerät,"Uhr, Zeitinformationsgerät"
BKB,"Zeiterkennungsobjekt, mit Booleschem Ausgang",Zeitschalter,Zeitzähler
BL,Erkennungsobjekt für Füllstand,Füllstandserkennungsobjekt,
BLA,"Füllstandserkennungsobjekt, mit Skalarausgang",Füllstandsmesswertgeber,"Füllstandsensor, Flüssigkeitsstandsensor"
BLB,"Füllstandserkennungsobjekt, mit Booleschem Ausgang",Füllstandschalter,Flüssigkeitsstandschalter
BM,Erkennungsobjekt für Feuchte,Feuchteerkennungsobjekt,
BMA,"Feuchteerkennungsobjekt, mit Skalarausgang",Feuchtemesswertgeber,Feuchte-Messfühler
BMB,"Feuchteerkennungsobjekt, mit Booleschem Ausgang",Feuchteschalter,Feuchte-Messfühler
BP,Erkennungsobjekt für Druck,Druckerkennungsobjekt,
BPA,"Druckerkennungsobjekt, das einen Anschluss zur Erkennung des absoluten Drucks verwendet, mit Skalarausgang",Absolutdruckmesswertgeber,"Absolutdrucksensor, Manometer, Druckwächter, Drucksensor, Druckaufnehmer"
BPB,"Druckerkennungsobjekt, das einen Anschluss zur Erkennung des absoluten Drucks verwendet, mit Booleschem Ausgang",Absolutdruckschalter,Druckschalter
BPC,"Druckerkennungsobjekt, das zwei Anschlüsse zur Erkennung des Differenzdrucks verwendet, mit Skalarausgang",Differenzdruckmesswertgeber,"Differentialdrucksensor, Druck-sensor, Relativdrucksensor"
BPD,"Druckerkennungsobjekt, das zwei Anschlüsse zur Erkennung des Differenzdrucks verwendet, mit Booleschem Ausgang",Differenzdruckschalter,"Drucksensor, Druckschalter, Relativdrucksensor, Relativdruck-schalter"
BQ,Erkennungsobjekt für Substanzkonzentration,Konzentrationserkennungsobjekt,
BQA,"Konzentrationserkennungsobjekt für Gas, mit Skalarausgang",Gaskonzentrationsmessgerät,"CO-Konzentrationssensor, CO_{2} -Konzentrationssensor, Konzentrationssensor, NH_{3} -Konzentrationssensor"
BQB,"Konzentrationserkennungsobjekt für Gas, mit Booleschem Ausgang",Gaskonzentrationsdetektor,Konzentrationserkennungsschalter
BQC,"Konzentrationserkennungsobjekt für Flüssigkeiten, mit Skalarausgang",Flüssigkeitskonzentrationsmessgerät,"Konzentrationssensor, Nebelsensor, Benzinkonzentrationssensor, Sichtbarkeitssensor"
BQD,"Konzentrationserkennungsobjekt für Flüssigkeiten, mit Booleschem Ausgang",Flüssigkeitskonzentrationsdetektor,"Konzentrationserkennungsschalter, Nebeldetektor, Sichtbarkeitsdetektor"
BQE,"Konzentrationserkennungsobjekt für Feststoffe, mit Skalarausgang",Feststoffkonzentrationsmessgerät,"Konzentrationssensor, Rauchsensor, Trübungssensor, Sichtbarkeitssensor"
BQF,"Konzentrationserkennungsobjekt für Feststoffe, mit Booleschem Ausgang",Feststoffkonzentrationsdetektor,"Konzentrationserkennungsschalter, Rauchmelder, Rauchschalter, Trübungsdetektor, Sichtbarkeitsdetektor"
BR,Erkennungsobjekt für Strahlung,Strahlungserkennungsobjekt,
BRA,"Strahlungserkennungsobjekt für sichtbare elektromagnetische Wellen, mit Skalarausgang",Lichtmessgerät,"Lichtsender, Photozelle"
BRB,"Strahlungserkennungsobjekt für sichtbare elektromagnetische Wellen, mit Booleschem Ausgang",Lichtdetektor,"Lichtschranke, linienförmiger Detektor, Dämmungsschalter, Lux-Sensor"
BRC,"Strahlungserkennungsobjekt für nicht sichtbare elektromagnetische Wellen, mit Skalarausgang",Messgerät für elektromagnetische Wellen,"IR-Sensor, Radarsensor, UV-Sensor"
BRD,"Strahlungserkennungsobjekt für nicht sichtbare elektromagnetische Wellen, mit Booleschem Ausgang",Elektromagnetwellendetektor,Gammastrahlendetektor
BRE,"Strahlungserkennungsobjekt für nukleare Partikel, mit Skalarausgang",Strahlungsmessgerät,Geigermesser
BRF,"Strahlungserkennungsobjekt für nukleare Partikel, mit Booleschem Ausgang",Strahlungsdetektor,
BS,Erkennungsobjekt für Zeitbereich,Zeitbereicherkennungsobjekt,
BSA,"Zeitbereicherkennungsobjekt für nicht rotierende Takte, mit Skalarausgang",Taktratenmesswertgeber,"Taktratensensor, Frequenzmesswertgeber"
BSB,"Zeitbereicherkennungsobjekt für nicht rotierende Takte, mit Booleschem Ausgang",Taktraten-Erkennungsschalter,
BSC,"Zeitbereicherkennungsobjekt für Abstände, mit Skalarausgang",Geschwindigkeitsmesswertgeber,"Bewegungssender, Geschwindigkeitssensor"
BSD,"Zeitbereicherkennungsobjekt für Abstände, mit Booleschem Ausgang",Geschwindigkeitserkennungsschalter,Bewegungsdetektor
BSE,"Zeitbereicherkennungsobjekt für Rotationen, mit Skalarausgang",Drehzahlmesswertgeber,Rotationsgeschwindigkeitssensor
BSF,"Zeitbereicherkennungsobjekt für Rotationen, mit Booleschem Ausgang",Rotationsgeschwindigkeitsrelais,
BSG,"Zeitbereicherkennungsobjekt für Geschwindigkeiten, mit Skalarausgang",Beschleunigungsmesswertgeber,Seismischer Sensor
BSH,"Zeitbereicherkennungsobjekt für Geschwindigkeiten, mit Booleschem Ausgang",Stoßindikator,"Seismischer Schalter, Vibrations-schalter"
BT,Erkennungsobjekt für Temperatur,Temperaturerkennungsobjekt,
BTA,"Temperaturerkennungsobjekt, mit Skalarausgang",Temperaturmesswertgeber,Temperatursensor
BTB,"Temperaturerkennungsobjekt, mit Booleschem Ausgang",Temperaturschalter,Temperaturdetektor
BU,Erkennungsobjekt für mehrere Mengen,Mehrfacherkennungsobjekt,
BUA,"Mehrfacherkennungsobjekt, mit Skalarausgang",Mehrfachmesssensor,Multimeter
BUB,"Mehrfacherkennungsobjekt, mit Booleschem Ausgang",Mehrfachdetektor,"Buchholz-Relais, Distanzschutz-relais, Impedanzschutzrelais, Gegenphasenfolgerelais"
BW,"Erkennungsobjekt für Gewicht, Kraft oder Drehmoment",Krafterkennungsobjekt,
BWA,"Krafterkennungsobjekt für Gewicht, mit Skalarausgang",Gewichtmesswertgeber,"Wägezelle, Gewichtssensor"
BWB,"Krafterkennungsobjekt für Gewicht, mit Booleschem Ausgang",Gewichterkennungsschalter,
BWC,"Krafterkennungsobjekt für Kraft, mit Skalarausgang",Kraftmesswertgeber,Kraftaufnehmer
BWD,"Krafterkennungsobjekt für Kraft, mit Booleschem Ausgang",Krafterkennungsschalter,Kraftindikator
BWE,"Krafterkennungsobjekt für Drehmoment, mit Skalarausgang",Drehmomentmesswertgeber,Drehmomentsensor
BWF,"Krafterkennungsobjekt für Drehmoment, mit Booleschem Ausgang",Drehmomentschalter,Drehmomentindikator
BX,Erkennungsobjekt für Ton und/oder äußeres Erscheinen,Audiovisuelles Erkennungsobjekt,
BXA,"Audiovisuelles Erkennungsobjekt für Schall, mit Skalarausgang",Schallmesswertgeber,"Akustiküberwachungsgerät, Mikrofon"
BXB,"Audiovisuelles Erkennungsobjekt für Schall, mit Booleschem Ausgang",Akustikindikator,Glasbruchsensor
BXC,"Audiovisuelles Erkennungsobjekt für äußeres Erscheinen, mit Skalarausgang",Bildgeber,"Kamera, CCTV, PTZ-Kamera, Scanner, Videokamera"
BXD,"Audiovisuelles Erkennungsobjekt für visuelles Erscheinen, mit Booleschem Ausgang",Bilderkennungsgerät,"Gesichtserkennungsgerät, Fingerabdruckleser, Iris-Scanner"
BY,Erkennungsobjekt für gespeicherte Informationen,Informationserkennungsobjekt,
BYA,Informationserkennungsobjekt für elektrische Verbindungen,Chiplesegerät,Chipkartenlesegerät
BYB,Informationserkennungsobjekt für elektrische Felder,Elektromagnetisches Lesegerät,"Magnetstreifen-Lesegerät, RFC-Lesegerät, RFID-Lesegerät, Lochstreifen-Lesegerät"
BYC,Informationserkennungsobjekt für Licht,Optisches Lesegerät,"Barcode-Lesegerät, Lesegerät für optische Platten, QR-Lesegerät"
BZ,Erkennungsobjekt für Ereignisse oder Mengen,Ereigniserkennungsobjekt,
BZA,"Ereigniserkennungsobjekt zum Erkennen der Anzahl an Ereignissen, mit Skalarausgang",Zähler,
BZB,"Ereigniserkennungsobjekt zum Erkennen eines Ereignisses, mit Booleschem Ausgang",Schwellenwertdetektor,
BZC,"Ereigniserkennungsobjekt zum Erkennen des Vorhandenseins von Menschen, mit Booleschem Ausgang",Personendetektor,Präsenzdetektor
BZD,"Ereigniserkennungsobjekt zum Erkennen des Vorhandenseins von Stoffen, mit Booleschem Ausgang",Stoffdetektor,
C,Objekt zum Speichern für ein späteres Abrufen,Speicherobjekt,
CA,Speicherobjekt für elektrische Energie innerhalb eines elektrostatischen Felds,Kapazitives Speicherobjekt,
CAA,Kapazitives Speicherobjekt für elektrische Ladung,Kondensator,
CB,Speicherobjekt für elektrische Energie innerhalb eines elektromagnetischen Felds,Induktives Speicherobjekt,
CBA,Induktives Speicherobjekt für induktive Ladung,Drosselspule,
CC,Speicherobjekt für elektrische Energie innerhalb eines elektrochemischen Stoffes,Elektrochemisches Speicherobjekt,
CCA,Elektrochemisches Speicherobjekt für reversible Reaktionen,Wiederaufladbare Batterie,
CF,Speicherobjekt für Informationen,Informationsspeicherobjekt,
CFA,Informationsspeicherobjekt auf einem Trägermedium,Informationsspeichermedium,
CL,Speicherobjekt für Stoffe oder Personen innerhalb stationärer offener Umschließungen,Offenes stationäres Speicherobjekt,
CLA,Offenes stationäres Speicherobjekt für Flüssigkeiten,Becken,"Bunker, Zisterne, Schacht"
CLB,Offenes stationäres Speicherobjekt für feste Objekte,Ablagefach,
CLC,Offenes stationäres Speicherobjekt für Personen,Sitz,"Bett, Stuhl, Sofa"
CM,Speicherobjekt für Stoffe innerhalb einer stationären geschlossenen Umschließung,Geschlossenes stationäres Speicherobjekt,
CMA,Geschlossenes stationäres Speicherobjekt für Flüssigkeiten,Tank,
CMB,Geschlossenes stationäres Speicherobjekt für Feststoffe,Kasten,"Gehäuse, Schrank"
CN,Speicherobjekt für Stoffe oder Personen innerhalb beweglicher geschlossener Umschließungen,Bewegliches Speicherobjekt,
CNA,Bewegliches Speicherobjekt für Feststoffe oder Personen,Behälter,"Eimer, Becher-Hebeanlage, Bag-gerladeschaufel, Aufzugskabine"
CNB,Bewegliches Speicherobjekt für Gase,Gaszylinder,
CNC,Bewegliches Speicherobjekt für Flüssigkeiten,Trommel,
CP,Speicherobjekt für Wärmeenergie,Wärmeenergie-Speicherobjekt,
CPA,Wärmeenergie-Speicherobjekt Flüssigkeiten,Flüssigkeitstank,Wasserwärmer
CPB,Wärmeenergie-Speicherobjekt Gase,Gastank,
CPC,Wärmeenergie-Speicherobjekt Feststoffe,Feststofftank,
CPD,Wärmeenergie-Speicherobjekt Phasenwechselmaterialien,Kristalltank,
CQ,Speicherobjekt für mechanische Energie,Speicherobjekt für mechanische Energie,
CQA,Objekt zum Speichern von mechanischer Energie in Form von kinetischer Energie,Schwungrad,
CQB,Objekt zum Speichern von mechanischer Energie in Form von elastischer Energie,Feder,Gummiband
CQC,Objekt zum Speichern von mechanischer Energie in Form von Gravitationsenergie,Gegengewicht,angehobene Masse
E,Objekt zum Aussenden,Aussendeobjekt,
EA,Aussendeobjekt für Licht,Lichtobjekt,
EAA,Lichtobjekt mit Elektrizität,Elektrische Leuchte,"Argonlampe, Elektrolumineszenz-geräte, Leuchtstofflampe, Leucht-stoffröhre, Glühlampe, Lampe, Lampenbirne, Laser, Neonlampe"
EAB,Lichtobjekt mit Gasverbrennung,Gaslampe,
EAC,Lichtobjekt mit Flüssigkeitsverbrennung,Flüssigkeitslampe,Paraffinlampe
EB,Aussendeobjekt für durch elektrische Energie abgegebene Wärme,Elektroheizobjekt,
EBA,"Elektroheizobjekt, Wärmebereitstellung durch Flüssigkeit",Elektrokessel,
EBB,"Elektroheizobjekt, Wärmebereitstellung durch eine Oberfläche",Elektroheizfläche,"Bratplatte, Heizmatte, Sauna"
EBC,"Elektroheizobjekt, Wärmebereitstellung durch Kabel",Heizkabel,
EBD,"Elektroheizobjekt, Wärmebereitstellung durch Luftgebläse",Elektroheißluftgebläse,
EBE,"Elektroheizobjekt, Wärmebereitstellung durch elektrischen Lichtbogen",Lichtbogenheizobjekt,Lichtbogenofen
EBF,"Elektroheizobjekt, Wärmebereitstellung durch mit Stromfluss",Induktionserwärmer,Induktionsofen
EBG,"Elektroheizobjekt, Wärmebereitstellung durch Infrarotstrahlung",Infrarot-Heizung,
EBH,"Elektroheizobjekt, Wärmebereitstellung durch beheizte Oberfläche",Elektroofen,
EC,Aussendeobjekt für durch elektrische Energie abgegebene Kälte,Elektrokühlobjekt,
ECA,Elektrokühlobjekt mit Kühloberfläche,Elektrokühloberfläche,
ECB,Elektrokühlobjekt mit Luftgebläse,Elektrokaltluftgebläse,
ECC,Elektrokühlobjekt mit Phasenänderung,Kompressionskältemaschine,
EE,Aussendeobjekt für drahtlose Energie,Drahtlosenergie-Objekt,
EEA,Kabelloses Stromübertragungsobjekt mit Verwendung von induktiver Kopplung,Induktive Antenne,
EEB,Kabelloses Stromübertragungsobjekt mit Verwendung von Mikrowellen,Magnetron,"Maser, Mikrowellenofen"
EEC,Kabelloses Stromübertragungsobjekt mit Verwendung von Röntgenstrahlen,Röntgenstrahlenquelle,
EED,Kabelloses Stromübertragungsobjekt mit Verwendung von Gammastrahlen,Gammastrahlenquelle,
EEE,Kabelloses Stromübertragungsobjekt mit Verwendung von kapazitiver Kopplung,Kapazitiver Koppler,
EG,Aussendeobjekt für durch Wärmeenergie übertragene Wärme und Kälte,Wärmeenergie-Übertragungsobjekt,
EGA,Wärmeenergie-Übertragungsobjekt mit Phasenänderung,Wärmepumpe,"Gefriergerät, temperaturgeführte Ladeeinheit, Kühlschrank, Kühlcontainer, Kühlregal, reversible Wärmepumpe"
EGB,Wärmeenergie-Übertragungsobjekt mit Peltier-Effekt,Peltier-Element,
EGC,Wärmeenergie-Übertragungsobjekt zwischen Flüssen mit Zwischenmaterial,Wärmeaustauscher,
EM,Aussendeobjekt für durch Verbrennung erzeugte Wärme,Verbrennungsheizobjekt,
EMA,Verbrennungsheizungsobjekt zum Beheizen von Räumen,Heizofen,
EMB,Verbrennungsheizungsobjekt zum Beheizen von Flüssigkeiten,Feuerungskessel,
EMC,Verbrennungsheizungsobjekt zum Erwärmen von Feststoffen,Kochplatte,
EP,Aussendeobjekt für durch Wärmeenergie erzeugte Wärme,Wärmeheizobjekt,
EPA,"Heizwärmeobjekt, Wärmebereitstellung durch eine beheizte durchlässige Oberfläche",Heizfläche,
EPB,"Heizwärmeobjekt, Wärmebereitstellung durch Flüssigkeit",Heizröhre,"Heizspule, Heizrohr"
EPC,"Heizwärmeobjekt, Wärmebereitstellung durch eine beheizte nicht durchlässige Oberfläche",Heizplatte,"Kondensator, Heizkörper"
EPD,"Heizwärmeobjekt, Wärmebereitstellung durch Luftgebläse",Heißluftgebläse,
EQ,Aussendeobjekt für durch Wärmeenergie erzeugte Kälte,Thermal-Kühlobjekt,
EQA,Thermal-Kühlobjekt zum Bereitstellen einer durchlässigen Kühlfläche,Kühloberfläche,
EQB,Thermal-Kühlobjekt zum Bereitstellen einer nicht durchlässigen Kühlfläche,Kühlplatte,"Kondensator, Kühlturm, Verdampfer"
EQC,Thermal-Kühlobjekt mit Luftgebläse,Gebläsekühleinrichtung,
EQD,Thermal-Kühlobjekt zum Kühlen von Flüssigkeiten,Kühler,
EQE,Thermal-Kühlobjekt zur Erzeugung kühler Flüssigkeiten in Röhren,Kühlröhre,"Kühlspule, Kühlrohr"
ET,Aussendeobjekt für durch Kernspaltung erzeugte Wärme,Nuklearenergie-Wärmeobjekt,
ETA,Nuklearbetriebenes Heizobjekt zur Erzeugung von warmem Wasser,Siedewasserreaktor,
ETB,Nuklearbetriebenes Heizobjekt zur Erzeugung von Flüssigkeitsdampf,Druckwasserreaktor,
ETC,Nuklearbetriebenes Heizobjekt zur Erzeugung von warmem Gas,Gasgekühlter Hochtemperaturreaktor,Kugelhaufenreaktor
EU,Aussendeobjekt für subatomare Partikel,Partikelaussendeobjekt,
EUA,Partikelaussendeobjekt mit Ionisierung,Plasmagenerator,
EUB,Partikelaussendeobjekt ohne Ionisierung,Partikelgenerator,"Alphastrahlengerät, Betastrahlen-gerät, Neutronenstrahlengerät"
EV,Aussendeobjekt für Schallwellen,Schallwellenaussendeobjekt,
EVA,Schallwellenaussendendes Objekt mit Verwendung von Ultraschallfrequenzen,Sonar,
EVB,Schallwellenaussendendes Objekt mit Verwendung hörbarer Frequenzen zur Geräuschreduzierung,Lautsprecher zur Geräuschunterdrückung,
F,Objekt zum Schutz vor den Auswirkungen gefährlicher oder unerwünschter Bedingungen,Schutzobjekt,
FA,Schutzobjekt für Überspannung,Überspannungsschutzobjekt,
FAA,Überspannungsschutzobjekt mit Funkenstrecke,Funkenstrecken-Überspannungsableiter,Begrenzer
FAB,Überspannungsschutzobjekt mit Varistor,Varistor-Überspannungsableiter,Begrenzer
FAC,Überspannungsschutzobjekt mit Zener-Diode,Zener-Diode,Begrenzer
FAD,Überspannungsschutzobjekt mit Überspannungsableitung,Überspannungsableiter,
FB,Schutzobjekt für Erdschlussströme,Erdschlussstrom-Schutzobjekt,
