Kennzeichen,Beispiele
AAA,Raum
AAA,Bewohnbarer Raum zur persönlichen Nutzung
AAB,Wohnraum
AAB,Bewohnbarer Raum zur gemeinsamen Nutzung
AAC,Bewohnbarer Raum zum Warten
AAC,Warteraum
AAD,Hof
AAD,"Bewohnbarer Raum,vollständig oder teilweise in Außenbereichen und von Gebäuden umschlossen"
ABA,Persönlicher Hygieneraum zum Waschen und Erleichtern
ABA,Badezimmer
ABB,Toilette
ABB,Persönlicher Hygieneraum zum Erleichtern
ABC,Babywickelraum
ABC,Persönlicher Hygieneraum für die Körperpflege von Babys
ABD,Umkleideraum
ABD,Persönlicher Hygieneraum zum Wechseln von Kleidung
ABE,Dusche
ABE,"Persönlicher Hygieneraum, in dem sich Menschen waschen können"
ABF,Sauna
ABF,Persönlicher Hygieneraum zum Schwitzen
ACA,Unterstand
ACA,Isolationsraum zum Schützen von Personen vor gefährlichen oder riskanten Situationen
ACB,Zelle
ACB,Isolationsraum zum Auseinanderhalten mehrerer Personen
B,Erkennungsobjekt
B,Objekt zur Erfassung und Darstellung von Informationen
BA,Kopplungskondensator
BA,Spannungswandler
BA,Spannungsrelais
BA,Spannungswandler für Messzwecke
BA,Messspannungsrelais
BAA,Kopplungskondensator
BAA,Spannungswandler für Messzwecke
BAA,Büro
BAA,"Arbeitsraum zum Erstellen, Verarbeiten und Interpretieren von Informationen"
BAB,Messspannungsrelais
BAB,Meetingraum
BAB,Arbeitsraum für Zusammenkünfte
BAC,Arbeitsraum zum Empfang von Gästen und Gütern
BAC,Rezeption
BAD,Verkaufsbereich
BAD,Arbeitsraum zum Verkauf von Gütern und Dienstleistungen
BAE,Arbeitsraum zum Übermitteln von Wissen und Kompetenzen
BAE,Lehrraum
BAF,Arbeitsraum zum Lesen
BAF,Lernzimmer
BAG,Arbeitsplatz zum Waschen von Kleidung und Leinen
BAG,Waschraum
BAH,Arbeitsraum zur medizinischen Versorgung und anderen Behandlung und Pflege von Personen
BAH,Behandlungsraum
BAJ,Untersuchungsraum
BAJ,Arbeitsraum für Diagnosen
BAK,Überwachungsraum
BAK,Arbeitsraum zur Überwachung von Personen
BAL,Beobachtungsraum
BAL,Arbeitsraum zur Beobachtung von Prozessen und Personen in angrenzenden Räumen
BAM,Medienwerkstatt
BAM,Arbeitsraum zum Aufnehmen und Bearbeiten von Medien
BB,Sensor für elektrischen Widerstand
BB,Detektor für thermischen Widerstand
BB,Detektor für elektrischen Widerstand
BBA,Produktionsraum zum Arbeiten mit Lebensmitteln
BBA,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Skalarausgang"
BBA,Küche
BBA,Messgerät für elektrischen Widerstand
BBB,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Booleschem Ausgang"
BBB,Produktionsraum zum Arbeiten mit Materialien
BBB,Materialwerkstatt
BBB,Detektor für elektrischen Widerstand
BBC,Produktionsraum zum Arbeiten mit Maschinen und Geräten
BBC,"Widerstanderkennungsobjekt für Wärmefluss, mit Skalarausgang"
BBC,Maschinenwerkstatt
BBC,Messgerät für thermischen Widerstand
BBD,Studio
BBD,"Widerstanderkennungsobjekt für Wärmefluss, mit Booleschem Ausgang"
BBD,Detektor für thermischen Widerstand
BBD,Produktionsraum zum Arbeiten an Kunst und Handwerk
BBE,Verpackungsraum
BBE,Produktionsraum zum Sortieren und Verpacken von Objekten
BC,elektronisches Überlastrelais
BC,Überlastrelais
BC,Stromwandler für Messzwecke
BC,Messstromrelais
BCA,Messstromwandler
BCA,Labor zur technischen Analyse
BCA,Technisches Labor
BCB,Labor zum Untersuchen von Materialien
BCB,Überlastrelais
BCB,Messstromrelais
BCB,Materiallabor
BCB,elektronisches Überlastrelais
BCC,Biologielabor
BCC,Labor zur biologischen Analyse
BD,Hydrometer
BD,Dichtewandler
BD,Dichtesensor
BD,Dichteschalter
BD,Senkwage
BDA,Turnhalle
BDA,Dichtesensor
BDA,Senkwaage
BDA,Übungsraum für sportliche Aktivitäten
BDA,Hydrometer
BDB,"Übungsraum zum Trainieren von Kraft, Kondition und Balance"
BDB,Trainingsraum
BDB,Dichtesensor
BDC,Proberaum
BDC,Übungsraum zum Üben von künstlerischen Fähigkeiten
BDD,Übungsraum zum Ausüben künstlerischer Aktivitäten
BDD,Bühne
BDE,Spielzimmer
BDE,Übungsraum für Kinder
BE,Reedschalter
BE,Reedrelais
BE,Magnetfeldsensor
BE,Magnetfeld-detektor
BE,Spannungsfeldsensor
BE,Spannungsfelddetektor
BEA,Elektrischer Feldsensor
BEA,Zusammenkunftsraum zum Konsum von Lebensmitteln
BEA,Speiseraum
BEA,"Felderkennungsobjekt für elektrische Felder, mit Skalarausgang"
BEB,Halle
BEB,"Felderkennungsobjekt für elektrische Felder, mit Booleschem Ausgang"
BEB,Elektrischer Felddetektor
BEB,Zusammenkunftsraum für gesellschaftliche Ereignisse
BEC,"Felderkennungsobjekt für Magnetfelder, mit Skalarausgang"
BEC,Zusammenkunftsraum zum Ausstellen von Objekten
BEC,Magnetfeldsensor
BEC,Galerie
BED,Reedrelais
BED,Zusammenkunftsraum für religiöse Aktivitäten
BED,Religionsausübungsraum
BED,Reedschalter
BF,Durchflussmesswertgeber
BF,Gasflusssensor
BF,Durchflusssensor
BF,Durchflussschalter
BF,Gasflussschalter
BF,Flüssigkeitsflusssensor
BF,Stoffflusssensor
BF,Feststoffflussschalter
BF,Wasserflusssensor
BFA,Flüssigkeitsflusssensor
BFA,Wasserflusssensor
BFA,Feststoff-flusssensor
BFA,Gasflusssensor
BFA,Durchflusssensor
BFB,Feststofffluss-schalter
BFB,Gasflussschalter
BG,Anwesenheitsanzeige
BG,Positionsmesswertgeber
BG,Radar
BG,Drehgeber
BG,Positionsschalter
BG,Sichtbarkeitssensor
BG,Windrichtungsanzeige
BG,Anwesenheitser-kennung
BG,Bewegungsdetektor
BG,Positionssensor
BG,Objektscanner
BG,Bewegungssensor (PIR)
BG,Laserscanner
BG,Laserabstandssensor
BG,Laserabstandserkennungsschalter
BG,End-stopp
BG,Windrichtungssensor
BG,Distanzmesswertgeber
BG,Distanzschalter
BG,2D-Scanner
BG,3D-Scanner
BG,Ausrichtungssensor
BG,Ausrichtungs-schwellendetektor
BG,Winkelschalter
BG,Winkelmesswertgeber
BG,Ko-ordinatenscanner
BGA,Positionssensor
BGA,Präsenzdetektor
BGA,Radar
BGA,Windrichtungssensor
BGB,Präsenzdetektor
BGB,Bewegungsdetektor
BGB,Bewegungs-sensor (PIR)
BGB,Positionssensor
BGC,Positions-sensor
BGC,Laserdistanzsensor
BGC,Sichtbarkeitssensor
BGD,Sichtbarkeitsdetektor
BGD,Präsenzdetektor
BGD,Positionssensor
BGD,Bewegungssensor (PIR)
BGD,Bewegungs-detektor
BGD,Laserdistanz-Erkennungsschalter
BGD,Laserdistanzsensor
BGE,Windrich-tungsanzeige
BGE,Anzeigeeinrichtung
BGE,Drehgeber
BGE,Positions-messwertgeber
BGE,Positionssensor
BGE,Anschlag
BGE,Ausrichtungssensor
BGF,Positionssensor
BGF,Präsenzdetektor
BGF,Ausrichtungsschwellendetektor
BGF,Bewegungsdetektor
BGF,Bewegungs-sensor (PIR)
BGF,Radar
BGG,3D-Scanner
BGG,Koordinatenscanner
BGG,Laserscanner
BGG,2D-Scanner
BH,kWh-Zähler
BH,Strömungsenergie-zähler
BH,Energiesensor
BH,Energiezähler
BH,Gasenergiezähler
BH,Kühlungsenergie-Messgerät
BH,Stromflussmesswertgeber
BH,Wärmeenergiezähler
BH,Kondensatsensor
BHA,Kühlungsengergie-Messgerät
BHA,Gasenergiezähler
BHA,Energiesensor
BHA,Energiezähler
BHB,Energiesensor
BHB,Energieküh-lungsmessgerät
BHB,Kondensatsensor
BHB,Energiezähler
BHC,kWh-Sensor
BJ,kW-Zähler
BJ,Leistungszähler
BJ,Leistungsbegrenzungsschalter
BJA,kW-Zähler
BJB,Leistungsbegrenzungsschalter
BJB,"Leistungserkennungsobjekt, mit Booleschem Ausgang"
BK,Uhr
BK,Zeitzähler
BK,Zeitinformationsgerät
BK,Zeitmessgerät
BK,Zeitschalter
BKA,Uhr
BKA,Zeitinformationsgerät
BKB,Zeitzähler
BL,Flüssigkeitsstandsschalter
BL,Füllstandssensor
BL,Füllstandsschalter
BL,Füllstandsmesswertgeber
BL,Flüssigkeitsstandssensor
BLA,Füllstandsensor
BLA,Flüssigkeitsstandsensor
BLB,Flüssigkeitsstandschalter
BM,Feuchtesensor
BM,Feuchteschalter
BM,Feuchtemesswertgeber
BMA,Feuchte-Messfühler
BMB,Feuchte-Messfühler
BP,Absolutdruckmess-wertgeber
BP,Absolutdrucksensor
BP,Differenzialdruckschalter
BP,Differenzialdrucksensor
BP,Relativdrucksensor
BP,Relativdrucksensor
BP,Relativdruckdetektor
BP,Druckaufnehmer
BP,Absolutdruckschalter
BP,Drucksensor
BP,Druckwächter
BP,Manometer
BP,Differenzialdruckmesswertgeber
BP,Druckschalter
BPA,Absolutdrucksensor
BPA,Manometer
BPA,Druckwächter
BPA,Drucksensor
BPA,Druckaufnehmer
BPB,Druckschalter
BPC,Differentialdrucksensor
BPC,Relativdrucksensor
BPC,Druck-sensor
BPD,Druckschalter
BPD,Relativdruck-schalter
BPD,Relativdrucksensor
BPD,Drucksensor
BQ,Gaskonzentrationsdetektor
BQ,Sichtbarkeits-sensor
BQ,Gaskonzentrationsmess-gerät
BQ,Nebeldetektor
BQ,Benzinkonzentra-tionssensor
BQ,NH_{3} -Konzentrationssensor
BQ,Rauchschalter
BQ,Flüssigkeitskonzentra-tionsmessgerät
BQ,Flüssigkeitskonzentrationsdetektor
BQ,Fest-stoffkonzentrationsdetektor
BQ,Feststoffkonzentrationsmessgerät
BQ,Trübedetektor
BQ,Rauchdetektor
BQ,Trübesensor
BQ,CO_{2} -Konzentrationssensor
BQ,Konzentra-tionssensor
BQ,Konzentrationserkennungsschalter
BQ,Sichtbarkeitsdetektor
BQ,Nebelsensor
BQ,CO-Konzentrationssensor
BQ,Rauchsensor
BQA,CO-Konzentrationssensor
BQA,CO_{2} -Konzentrationssensor
BQA,Konzentrationssensor
BQA,NH_{3} -Konzentrationssensor
BQB,Konzentrationserkennungsschalter
BQC,Nebelsensor
BQC,Sichtbarkeitssensor
BQC,Konzentrationssensor
BQC,Benzinkonzentrationssensor
BQD,Konzentrationserkennungsschalter
BQD,Nebeldetektor
BQD,Sichtbarkeitsdetektor
BQE,Konzentrationssensor
BQE,Rauchsensor
BQE,Trübungssensor
BQE,Sichtbarkeitssensor
BQF,Konzentrationserkennungsschalter
BQF,Rauchmelder
BQF,Rauchschalter
BQF,Trübungsdetektor
BQF,Sichtbarkeitsdetektor
BR,Elektromagnetwellendetektor
BR,Strahlungsdetektor
BR,Messgerät für elektromagnetische Wellen
BR,Geigerzähler
BR,UV-Sensor
BR,IR-Sensor
BR,Licht-schranke
BR,Lichtmessgerät
BR,Gammastrahlungsdetektor
BR,Leitungs-detektor
BR,Lichtsender
BR,Strahlungsmessgerät
BR,Radarsensor
BR,Lichtdetektor
BR,r Lux-Sensor
BR,Dämmerungsschalte
BR,Fotozelle
BRA,Lichtsender
BRA,Photozelle
BRB,Lichtschranke
BRB,linienförmiger Detektor
BRB,Dämmungsschalter
BRB,Lux-Sensor
BRC,UV-Sensor
BRC,IR-Sensor
BRC,Radarsensor
BRD,Gammastrahlendetektor
BRE,Geigermesser
BRF,Strahlungsdetektor
BRF,"Strahlungserkennungsobjekt für nukleare Partikel, mit Booleschem Ausgang"
BS,Takt-ratenmesswertgeber
BS,Beschleunigungsmess-wertgeber
BS,Taktraten-Erkennungsschalter
BS,Dreh-zahlmessgerät
BS,Geschwindigkeitssensor
BS,Ge-schwindigkeitsmesswertgeber
BS,Geschwindigkeitserkennungsschalter
BS,Vibrationsschalter
BS,seismischer Schal-ter
BS,seismischer Sensor
BS,Dreh-geschwindigkeitssensor
BS,Drehgeschwindigkeitsrelais
BS,Bewegungsmesswertgeber
BS,Bewegungsdetek-tor
BS,Frequenzmesswertgeber
BS,Taktratensensor
BS,Beschleunigungsaufnehmer-Relais
BSA,Taktratensensor
BSA,Frequenzmesswertgeber
BSB,"Zeitbereicherkennungsobjekt für nicht rotierende Takte, mit Booleschem Ausgang"
BSB,Taktraten-Erkennungsschalter
BSC,Bewegungssender
BSC,Geschwindigkeitssensor
BSD,Bewegungsdetektor
BSE,Rotationsgeschwindigkeitssensor
BSF,"Zeitbereicherkennungsobjekt für Rotationen, mit Booleschem Ausgang"
BSF,Rotationsgeschwindigkeitsrelais
BSG,Seismischer Sensor
BSH,Vibrations-schalter
BSH,Seismischer Schalter
BT,Temperaturmesswertgeber
BT,Temperaturdetektor
BT,Temperatursensor
BT,Temperaturschalter
BTA,Temperatursensor
BTB,Temperaturdetektor
BU,Buchholz-Relais
BU,Gegenphasenfolgerelais
BU,Mehrfachsensorschalter
BU,Mehrfachmesssensor
BU,Mehrfachdetektor
BU,Impedanzschutzrelais
BU,Distanzschutzrelais
BUA,Multimeter
BUB,Gegenphasenfolgerelais
BUB,Impedanzschutzrelais
BUB,Buchholz-Relais
BUB,Distanzschutz-relais
BW,Kraftmesswertgeber
BW,Kraftsensor
BW,Krafterkennungsschalter
BW,Gewichtssensor
BW,Drehmomentsensor
BW,Drehmoment-messwertgeber
BW,Last-zelle
BW,Gewichtserkennungsschalter
BW,Gewichtsmesswertgebersender
BW,Drehmomentschalter
BWA,Wägezelle
BWA,Gewichtssensor
BWB,Gewichterkennungsschalter
BWB,"Krafterkennungsobjekt für Gewicht, mit Booleschem Ausgang"
BWC,Kraftaufnehmer
BWD,Kraftindikator
BWE,Drehmomentsensor
BWF,Drehmomentindikator
BX,Alarmmikrofon
BX,Akustikdetektor
BX,Akustiksensor
BX,Akustiküberwa-chungsgerät
BX,Kamera
BX,Mikrofon
BX,Gesichtserkennungsgerät
BX,Fin-gerabdruckleser
BX,Glasbruchsensor
BX,Bildgeber
BX,Bilderkennungs-gerät
BX,Iris-Scanner
BX,Profilkontrolle
BX,PTZ-Kamera
BX,Scanner
BX,Videokamera
BX,CCTV
BXA,Akustiküberwachungsgerät
BXA,Mikrofon
BXB,Glasbruchsensor
BXC,Kamera
BXC,CCTV
BXC,PTZ-Kamera
BXC,Scanner
BXC,Videokamera
BXD,Gesichtserkennungsgerät
BXD,Fingerabdruckleser
BXD,Iris-Scanner
BY,Lochstreifenlesegerät
BY,RFC-Lesegerät
BY,Barcode-Lesegerät
BY,Chipkarten-Lesegerät
BY,Chip-Lesegerät
BY,elektromagnetisches Lesegerät
BY,Magnetstreifenlesegerät
BY,optisches Lesegerät
BY,Lese-gerät für optische Platten
BY,QR-Lesegerät
BY,RFID-Lesegerät
BYA,Chipkartenlesegerät
BYB,Lochstreifen-Lesegerät
BYB,Magnetstreifen-Lesegerät
BYB,RFC-Lesegerät
BYB,RFID-Lesegerät
BYC,Lesegerät für optische Platten
BYC,Barcode-Lesegerät
BYC,QR-Lesegerät
BZ,Über-gangszähler
BZ,Zähler
BZ,Stoffdetektor
BZ,Personendetektor
BZ,Präsenzdetektor
BZA,"Ereigniserkennungsobjekt zum Erkennen der Anzahl an Ereignissen, mit Skalarausgang"
BZA,Zähler
BZB,Schwellenwertdetektor
BZB,"Ereigniserkennungsobjekt zum Erkennen eines Ereignisses, mit Booleschem Ausgang"
BZC,Präsenzdetektor
BZD,"Ereigniserkennungsobjekt zum Erkennen des Vorhandenseins von Stoffen, mit Booleschem Ausgang"
BZD,Stoffdetektor
C,Objekt zum Speichern für ein späteres Abrufen
C,Speicherobjekt
CA,Kondensator
CAA,Kondensator
CAA,Materiallagerraum für weggeworfene und zurückgeführte Materialien oder Objekte
CAA,Abfalllagerraum
CAA,Kapazitives Speicherobjekt für elektrische Ladung
CAB,Chemikalienlagerraum
CAB,Materiallagerungsraum für Chemikalien
CAC,Medizinlagerraum
CAC,Materiallagerungsraum für Medizin
CAD,Archivbereich
CAD,Materiallagerraum für physikalische Dokumente und Medien
CAE,Flüssigkeitslagerbereich
CAE,Materiallagerungsraum für Flüssigkeiten
CAF,Rohstofflagerraum
CAF,Materiallagerraum für Gebrauchsgegenstände in Produktionsprozessen
CAG,Lebensmittellagerraum
CAG,Materiallagerraum für Lebensmittel und Getränke
CAH,Sicherheitslagerraum
CAH,Materiallagerungsraum für wertvolle Objekte
CAJ,Verpackungslagerraum
CAJ,Materiallagerraum für Materialien zur Verpackung
CAK,Bekleidungslagerraum
CAK,"Materiallagerraum für Bekleidung, Schuhe und Leinen"
CAL,Baumaterialienlagerraum
CAL,Materiallagerungsraum für Baumaterialien
CAM,Materiallagerraum für explosive Materialien
CAM,Explosivmateriallager
CAN,"Materiallagerraum für Produkte, Güter und Fracht"
CAN,Lagerraum
CB,Drosselspule
CBA,Ausrüstungslagerraum für Objekte zum Einrichten (von Räumen)
CBA,Möbellagerraum
CBA,Induktives Speicherobjekt für induktive Ladung
CBA,Drosselspule
CBB,Materiallagerungsraum für Werkzeuge
CBB,Werkzeuglagerraum
CBC,Materiallagerungsraum für technische Instrumente
CBC,Instrumentenlagerraum
CBD,Fahrzeuglagerraum
CBD,Ausrüstungslagerraum für Transportmittel
CC,Wiederaufladbare Batterie
CCA,Elektrochemisches Speicherobjekt für reversible Reaktionen
CCA,Tiergehege zum Einsperren von Tieren
CCA,Käfig
CCA,Wiederaufladbare Batterie
CCB,"Tiergehege, um Tiere eingezäunt zu halten"
CCB,Stall
CCC,Tiergehege zum Schutz von Tieren
CCC,Stall
CCD,Tiergehege für Wassertiere
CCD,Wasserumschließung
CDA,Pflanzenraum zum Züchten von Pflanzen in Innenräumen
CDA,Innenpflanzenraum
CDB,Pflanzenraum zum Züchten von Pflanzen in Außenbereichen
CDB,Außenpflanzenraum
CEA,Leichenaufbewahrungsraum zur Zwischenverwahrung
CEA,Totenkapelle
CEB,Leichenaufbewahrungsraum zur Dauerverwahrung
CEB,Gruft
CF,Informationsspeichermedien
CF,Sitz
CFA,Informationsspeichermedium
CFA,Informationsspeicherobjekt auf einem Trägermedium
CL,Zisterne
CL,Sofa
CL,Stuhl
CL,Bunker
CL,Bett
CL,Ablagefach
CL,Becken
CL,Schacht
CLA,Bunker
CLA,Schacht
CLA,Zisterne
CLB,Ablagefach
CLB,Offenes stationäres Speicherobjekt für feste Objekte
CLC,Bett
CLC,Stuhl
CLC,Sofa
CM,Tank
CM,Schrank
CM,Gehäuse
CM,Behälter
CMA,Geschlossenes stationäres Speicherobjekt für Flüssigkeiten
CMA,Tank
CMB,Gehäuse
CMB,Schrank
CN,Aufzugskabine
CN,Gasflasche
CN,Trommel
CN,Container
CN,Baggerladeschaufel
CN,Becher-Hebeanlage
CNA,Eimer
CNA,Becher-Hebeanlage
CNA,Aufzugskabine
CNA,Bag-gerladeschaufel
CNB,Bewegliches Speicherobjekt für Gase
CNB,Gaszylinder
CNC,Bewegliches Speicherobjekt für Flüssigkeiten
CNC,Trommel
CP,Stoffbehälter
CP,Flüssigkeits-behälter
CP,Gasbehälter
CP,kristalliner Behälter
CP,Wassererwärmer
CPA,Wasserwärmer
CPB,Wärmeenergie-Speicherobjekt Gase
CPB,Gastank
CPC,Wärmeenergie-Speicherobjekt Feststoffe
CPC,Feststofftank
CPD,Wärmeenergie-Speicherobjekt Phasenwechselmaterialien
CPD,Kristalltank
CQ,Feder
CQ,Gummiband
CQ,Schwungrad
CQ,angehobene Masse
CQ,Gegengewicht
CQA,Schwungrad
CQA,Objekt zum Speichern von mechanischer Energie in Form von kinetischer Energie
CQB,Gummiband
CQC,angehobene Masse
DAA,Elektroinstallationsraum
DAA,Installationsraum für elektrische Betriebsmittel
DAB,IT-Geräteraum
DAB,Installationsraum für elektronische Geräte
DAC,Installationsraum für mechanische Geräte
DAC,Mechanischer Installationsraum
DAD,Gemeinsamer Installationsraum
DAD,Installationsraum für verschiedene Arten von technischen Geräten
DBA,"Ausrüstungsraum zur Steuerung, Regulierung und Überwachung"
DBA,Steuerausrüstungsraum
DBB,Produktionswerk
DBB,Ausrüstungsraum zur Herstellung und Vorbereitung von Produkten
DBC,Dienstleistungsausrüstungsraum
DBC,Ausrüstungsraum für Dienstleistungsfunktionen
DBD,Analysenausrüstungsraum
DBD,Ausrüstungsraum für Analysen
DCA,"Raum für technische Operationen, der Platz für Ausrüstungsbewegung vorsieht"
DCA,Arbeitsbereich
DCB,"Raum für technische Operationen, der Abstand um Ausrüstung herum vorsieht"
DCB,Freiraum
E,Aussendeobjekt
E,Objekt zum Aussenden
EA,Gaslampe
EA,elektrische Leuchte
EA,Leuchtstofflampe
EA,Leuchtstoffröhre
EA,Glühlampe
EA,Lampe
EA,Lampenbirne
EA,Laser
EA,Flüssigkeitslampe
EA,Neonlampe
EA,Paraffinlampe
EA,Elektrolumineszenzgeräte
EA,Argonlampe
EAA,Vorraum
EAA,Lampenbirne
EAA,Durchgangsraum zwischen Außen- und Innenräumen
EAA,Neonlampe
EAA,Laser
EAA,Lampe
EAA,Glühlampe
EAA,Leucht-stoffröhre
EAA,Leuchtstofflampe
EAA,Elektrolumineszenz-geräte
EAA,Argonlampe
EAB,Luftschleuse
EAB,Lichtobjekt mit Gasverbrennung
EAB,Durchgangsraum zum Regulieren des Übergangs in andere Räume
EAB,Gaslampe
EAC,"Durchgangsraum, horizontal zwischen zwei oder mehr Räumen"
EAC,Korridor
EAC,Paraffinlampe
EAD,"Durchgangsraum, vertikal und nicht automatisiert zwischen zwei oder mehr Stockwerken oder Ebenen"
EAD,Treppenhaus
EAE,Aufzugsraum
EAE,"Durchgangsraum, vertikal und automatisiert zwischen zwei oder mehr Ebenen"
EAF,Vorhalle
EAF,Durchgangsraum in Gebäuden
EB,Heizmatte
EB,Elektroheißluftgebläse
EB,elektrische Heizfläche
EB,Induktionsofen
EB,Heizkabel
EB,Bratplatte
EB,Lichtbogen-Heizungsobjekt
EB,Elektrolichtbogenofen
EB,Elektrokessel
EB,Induktionsheizung
EB,Infrarot-Heizung
EB,Sauna
EB,Elektroofen
EBA,Servicetunnel
EBA,Dienstraum mit horizontalem Zugang für Personen
EBA,"Elektroheizobjekt, Wärmebereitstellung durch Flüssigkeit"
EBA,Elektrokessel
EBB,Heizmatte
EBB,Bratplatte
EBB,Schacht
EBB,Sauna
EBB,Dienstraum mit vertikalem Zugang für Personen
EBC,Kanal
EBC,"Elektroheizobjekt, Wärmebereitstellung durch Kabel"
EBC,Heizkabel
EBC,Dienstraum ohne Zugang für Personen
EBD,Elektroheißluftgebläse
EBD,"Elektroheizobjekt, Wärmebereitstellung durch Luftgebläse"
EBE,Lichtbogenofen
EBF,Induktionsofen
EBG,Infrarot-Heizung
EBG,"Elektroheizobjekt, Wärmebereitstellung durch Infrarotstrahlung"
EBH,Elektroofen
