Kennzeichen,Beispiele
EBH,"Elektroheizobjekt, Wärmebereitstellung durch beheizte Oberfläche"
EC,Kompressionskältemaschine
EC,Elektrokaltluftgebläse
EC,elektrische Kühloberfläche
ECA,Elektrokühlobjekt mit Kühloberfläche
ECA,Elektrokühloberfläche
ECB,Elektrokaltluftgebläse
ECB,Elektrokühlobjekt mit Luftgebläse
ECC,Kompressionskältemaschine
ECC,Elektrokühlobjekt mit Phasenänderung
EE,Röntgenstrahlenquelle
EE,Mikrowellenofen
EE,Maser
EE,Magnetron
EE,kapazitiver Koppler
EE,Gammastrahlenquelle
EE,induktive Antenne
EEA,Induktive Antenne
EEA,Kabelloses Stromübertragungsobjekt mit Verwendung von induktiver Kopplung
EEB,Mikrowellenofen
EEB,Maser
EEC,Röntgenstrahlenquelle
EEC,Kabelloses Stromübertragungsobjekt mit Verwendung von Röntgenstrahlen
EED,Gammastrahlenquelle
EED,Kabelloses Stromübertragungsobjekt mit Verwendung von Gammastrahlen
EEE,Kabelloses Stromübertragungsobjekt mit Verwendung von kapazitiver Kopplung
EEE,Kapazitiver Koppler
EG,Wärmepumpe
EG,Peltier-Element
EG,Kühlschrank
EG,Kühlregal
EG,reversible Wärmepumpe
EG,Gefriergerät
EG,Wärmetauscher
EG,Kühlcontainer
EGA,Gefriergerät
EGA,reversible Wärmepumpe
EGA,Kühlregal
EGA,Kühlcontainer
EGA,Kühlschrank
EGA,temperaturgeführte Ladeeinheit
EGB,Wärmeenergie-Übertragungsobjekt mit Peltier-Effekt
EGB,Peltier-Element
EGC,Wärmeaustauscher
EGC,Wärmeenergie-Übertragungsobjekt zwischen Flüssen mit Zwischenmaterial
EM,Herd
EM,Feuerungskessel
EM,Kochplatte
EMA,Verbrennungsheizungsobjekt zum Beheizen von Räumen
EMA,Heizofen
EMB,Feuerungskessel
EMB,Verbrennungsheizungsobjekt zum Beheizen von Flüssigkeiten
EMC,Kochplatte
EMC,Verbrennungsheizungsobjekt zum Erwärmen von Feststoffen
EP,Heizfläche
EP,Heizröhre
EP,Heißluftgebläse
EP,Kondensator
EP,Heizspule
EP,Heizrohr
EP,Radiator
EP,Heizplatte
EPA,Heizfläche
EPA,"Heizwärmeobjekt, Wärmebereitstellung durch eine beheizte durchlässige Oberfläche"
EPB,Heizrohr
EPB,Heizspule
EPC,Kondensator
EPC,Heizkörper
EPD,"Heizwärmeobjekt, Wärmebereitstellung durch Luftgebläse"
EPD,Heißluftgebläse
EQ,Kühlturm
EQ,Kühlröhre
EQ,Verdampfer
EQ,Kühlrohr
EQ,Kühlplatte
EQ,Kühlspule
EQ,Kühler
EQ,Kondensator
EQ,Kühloberfläche
EQ,Gebläsekühleinrichtung
EQA,Thermal-Kühlobjekt zum Bereitstellen einer durchlässigen Kühlfläche
EQA,Kühloberfläche
EQB,Kühlturm
EQB,Kondensator
EQB,Verdampfer
EQC,Gebläsekühleinrichtung
EQC,Thermal-Kühlobjekt mit Luftgebläse
EQD,Kühler
EQD,Thermal-Kühlobjekt zum Kühlen von Flüssigkeiten
EQE,Kühlspule
EQE,Kühlrohr
ET,Druckwasserreaktor
ET,Kugel-haufenreaktor
ET,gasgekühlter Hochtemperaturreaktor
ET,Siedewasserreaktor
ETA,Nuklearbetriebenes Heizobjekt zur Erzeugung von warmem Wasser
ETA,Siedewasserreaktor
ETB,Druckwasserreaktor
ETB,Nuklearbetriebenes Heizobjekt zur Erzeugung von Flüssigkeitsdampf
ETC,Kugelhaufenreaktor
EU,Plasmagenerator
EU,Neutronenstrahlengerät
EU,Betastrahlengerät
EU,Partikelgenerator
EU,Alphastrahlengerät
EUA,Plasmagenerator
EUA,Partikelaussendeobjekt mit Ionisierung
EUB,Alphastrahlengerät
EUB,Betastrahlen-gerät
EUB,Neutronenstrahlengerät
EV,Lautsprecher zur Geräuschunterdrückung
EV,Sonar
EVA,Sonar
EVA,Schallwellenaussendendes Objekt mit Verwendung von Ultraschallfrequenzen
EVB,Schallwellenaussendendes Objekt mit Verwendung hörbarer Frequenzen zur Geräuschreduzierung
EVB,Lautsprecher zur Geräuschunterdrückung
F,Objekt zum Schutz vor den Auswirkungen gefährlicher oder unerwünschter Bedingungen
F,Schutzobjekt
FA,Zener-Diode
FA,Varistor-Überspannungsschutz
FA,Überspan-nungsschutz
FA,Funkenstrecken-Überspannungsableiter
FA,Begrenzer
FAA,Fahrzeugverkehrsraum für Fahrzeuge
FAA,Fahrbahn
FAA,Begrenzer
FAB,Fahrzeugverkehrsraum für eine Verkehrsspur
FAB,Fahrspur
FAB,Begrenzer
FAC,Begrenzer
FAC,Fahrzeugverkehrsraum entlang einer Fahrbahn für Notfälle und Zwischennutzung
FAC,Standspur
FAD,Überspannungsableiter
FAD,Überspannungsschutzobjekt mit Überspannungsableitung
FAD,Haltebucht
FAD,Fahrzeugverkehrsraum zum Anhalten von Fahrzeugen
FAE,Ausweichstelle
FAE,Fahrzeugverkehrsraum für das Aufeinandertreffen von Fahrzeugen
FAF,Fahrzeugverkehrsraum zum Wenden von Fahrzeugen
FAF,Wendeplatz
FB,Fehlerschutzschalter
FB,Fehlerstromgerät
FB,Fehlerstromschutzschalter (RCCB)
FB,Fehlerstromschutzschalter (FI-Schalter)
FB,Erdschluss-Schutzschal-ter
FB,Fehlerspannungsschutzschalter (FU-Schalter)
FB,FI-Schutzschal-ter
FB,Petersen-Spule
FB,neutraler Erdungswiderstand
FB,neutraler Erdungsreaktor
FB,Erd-schlussstrom-Begrenzer
FBA,Aktiver Transportraum für Fußgänger
FBA,FI-Schutzschalter
FBA,Fehlerstrom-schutzschalter
FBA,Fehlerstromtrenn-schalter (RCCB)
FBA,Geräteableitstromunterbrecher
FBA,Erdschlussschutzschalter
FBA,Erd-fehlerstromschutzschalter (ELCB)
FBA,Gehweg
FBB,neutrale Erdungsimpedanz
FBB,Aktiver Transportraum für Fahrräder
FBB,Petersen-Spule
FBB,Fahrradweg
FBB,Neutraler Erdungsreaktor
FBC,Gemeinsamer Rad- und Fußweg
FBC,Aktiver Transportraum für Fahrräder und Fußgänger
FBD,Tierweg
FBD,Aktiver Transportraum für Tiere
FC,thermische Überlastauslösung
FC,thermisches Überlastrelais
FC,Sicherung
FC,Bimetall-Schaltkreis
FC,Leistungsschutzschalter
FC,Bimetall
FCA,Sicherung
FCA,Luftfahrzeugverkehrsraum für Abflug und Landung
FCA,"Überstromschutzobjekt, das den Kreis, in dem es sich befindet, durch Unterbrechen des Stroms öffnet, wenn dieser für eine bestimmte Zeit einen bestimmten Wert überschreitet"
FCA,Start- und Landebahn
FCB,Leistungsschutzschalter
FCB,"Überstromschutzobjekt, das über die Fähigkeit verfügt, Ströme unter normalen Stromkreisbedingungen zu erzeugen, zu leiten und zu unterbrechen und Ströme unter bestimmten ungewöhnlichen Stromkreisbedingungen zu leiten und automatisch zu unterbrechen ANMERKUNG Diese Klasse ist für Schutzschalter nach der Normenreihe IEC 60898 vorgesehen."
FCB,Rollbahn
FCB,Luftfahrzeugverkehrsraum zum Rangieren
FCC,Bimetall-Schutzschalter
FCC,thermische Überlastauslösung
FCC,thermisches Überlastrelais
FDA,"Gleisraum, der nicht zur Überquerung vorgesehen ist"
FDA,Gleisbahn
FDB,"Gleisraum, der zur Überquerung vorgesehen ist"
FDB,Gleisübergang
FE,Metallbleche
FE,Bleiblock
FE,Mu-metallische Abschirmung
FE,elektrische Feldabschirmung
FE,Betonwand
FE,Magnet-feldabschirmung
FE,elektromagnetischer Feldabschirmungs-Faradaykäfig
FEA,Fahrrinne
FEA,Seefahrzeugverkehrsraum für horizontalen Verkehr
FEA,Faradayscher Käfig
FEB,Schleuse
FEB,Mu-metallische Abschirmung (gegen statische oder Niedrig-frequenz-Magnetfelder)
FEB,Seefahrzeugverkehrsraum für vertikalen Verkehr
FEC,Betonwand
FEC,Faradayscher Käfig
FEC,Bleiblock
FEC,Metallbleche
FFA,Trennstreifen
FFA,Verkehrsleitraum zum Trennen von Verkehrsräumen
FFB,Verkehrsleitraum zum Wechseln des Verkehrsmittels
FFB,Aus- und Zustiegsplattformraum
FFC,Verkehrsinformationsraum
FFC,Verkehrsleitraum zur Informationsweitergabe
FFD,Abstandsprofil
FFD,Verkehrsleitraum für Abstand zu anderen Objekten
FFE,Sperrgebiet
FFE,"Verkehrsleitraum, der Teil einer nicht für den Verkehr vorgesehenen Straße ist"
FL,Rückschlagventil gegen Vakuum
FL,Sicherheitsarmatur
FL,Ausdehnungsbehälter
FL,Ausdehnungsgefäß
FL,Sicher-heitsdämpfer
FL,Berstscheibe
FLA,Sicherheitsventil
FLA,"Druckschutzobjekt, das Dampf oder Flüssigkeit abgibt, wenn der Druck einen festgelegten Grenzwert überschreitet"
FLB,Sicherheitsklappe
FLB,"Druckschutzobjekt, bei dem ein Luftstrom geöffnet wird, wenn sich der Druck über oder unter einem festgelegten Grenzwert befindet"
FLC,"Druckschutzobjekt, mit dem ein Vakuum verhindert wird"
FLC,Rückschlagventil gegen Vakuum
FLD,"Druckschutzobjekt, das im Falle eines übermäßigen Differenzdrucks irreversibel aufgebrochen wird"
FLD,Berstplatte
FLE,Expansionsgefäß
FM,Rauchschutzvorhang
FM,Rauchschutzverschluss
FM,feuerabweisende Beschichtung
FM,Brandschutzbeschichtung
FM,Brandschutzimprägnie-rung
FM,Gasschutzklappe
FM,Feuerlöscher
FM,Brandisolierung
FM,Brand- und Gasschutzklappe
FM,Brandschutzblende
FM,Brandschutz-klappe
FMA,"Brandschutzobjekt, das bei Erkennen eines Brandes den Luftstrom unterbricht"
FMA,Brandschutzklappe
FMB,"Brandschutzobjekt, das bei Erkennen von Rauch den Luftstrom öffnet oder unterbricht"
FMB,Rauchschutzklappe
FMC,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch den Luftstrom unterbricht"
FMC,Brand- und Rauchschutzklappe
FMD,Brandschutzobjekt zur manuellen Bedienung
FMD,Feuerlöscher
FME,Brandschutzblende
FME,"Brandschutzobjekt, das bei Erkennen eines Brandes und/oder bei Erkennen von Rauch einen Durchgang versperrt"
FMF,"Brandschutzobjekt, das einen Bereich in Rauchzonen unterteilt"
FMF,Rauchschutzvorhang
FMG,Rauchabschottung
FMG,"Brandschutzobjekt, das ein Loch schließt, mit dem ein Ausbreiten eines Brandes verhindert wird"
FMH,Brandisolierung
FMH,Brandschutzobjekt zur Oberflächenabdeckung
FMJ,Brandschutzmittel
FMK,Brandschutzimprägnierung
FMK,Brandschutzobjekt zur Imprägnierung
FN,Stoßschutz
FN,Kabelschutz
FN,Sicherheitskupplung
FNA,"Objekt zum Schutz vor mechanischer Kraft, das für eine Trennung sorgt, wenn das Drehmoment zu hoch ist"
FNA,Sicherheitskupplung
FNB,Kabelschutz
FQ,Schneeschutz
FQ,Spritzschutz
FQ,Schutznetz
FQ,Schutz-schiene
FQ,Aufhängungsschutz
FQ,Schutzdach
FQ,Bruchschutz
FQ,Schutzgitter
FQ,Schutzgewebe
FQ,Blendschutz
FQ,Gleitschutz
FQ,Schutzstange
FQ,Schutzgeländer
FQ,Handlauf
FQ,Lukenschloss
FQA,Schutzgitter
FQB,Schneefang
FQC,Handlauf
FQC,Aufhängungsschutz
FQD,Schutzdach
FQD,Schutzgeländer
FQE,Vorbeugendes Schutzobjekt für physikalisches Durchdringen
FQE,Schutzstoff
FQF,Blendschutz
FQF,Vorbeugendes Schutzobjekt zum Verhindern von Blendeffekten
FQG,Spritzschutz
FQG,Vorbeugendes Schutzobjekt zum Verhindern von Spritzern
FQH,Bruchschutz
FQH,Vorbeugendes Schutzobjekt zum Verhindern von manueller Beschädigung
FQJ,Lukenschloss
FQJ,Vorbeugendes Schutzobjekt zum Verhindern von manuellem Entsperren
FR,Schmierobjekt
FR,Verschleißschutz
FR,Schmieröl
FRA,Schmieröl
FRB,Verschleißschutzobjekt zur Anwendung eines festen Trennstoffs zwischen Objekten
FRB,Verschleißschutz
FS,Zement
FS,Gebäude
FS,kathodischer Schutz
FS,Imprägnierung
FS,Imprägnierungsplatte
FS,materialtrennende Lackschicht
FS,Schneefang
FS,Unterstand
FS,Schuppen
FS,Lawinenschutzkonstruktion
FS,Opferanode
FS,Schutzversiegelung
FS,Korrosionsschutz
FS,Lack
FS,Mörtel
FS,Überwachungsgerät für seismische Schwingungen
FS,Gips
FSA,Zement
FSA,Mörtel
FSB,Umweltschutzobjekt in Form eines verhärteten Flüssigkeitsfilms auf der Oberfläche eines anderen Objekts
FSB,Lack
FSC,Imprägnierungsplatte
FSD,Lawinenschutzkonstruktion
FSD,Gebäude
FSD,Schuppen
FSD,Schneefang
FSE,Umweltschutzobjekt in Form einer Schwingungssteuerung
FSE,Seismisches Schwingungs-steuerungsgerät
FSF,Kathodischer Schutz
FSF,Opferanode
FSG,Schutzversiegelung
FSG,Umweltschutzobjekt in Form einer Versiegelung auf der Oberfläche eines anderen Objekts
FSH,Materialtrennschicht
FSH,Umweltschutzobjekt in Form einer Kapillareffekt-Schutzschicht
G,Erzeugungsobjekt
G,Objekt zum Bereitstellen eines steuerbaren Durchflusses
GA,Generator
GA,Wechselstromgenerator
GA,Gleichstromgenerator
GA,Dynamo
GAA,Generator
GAB,Generator
GAB,Dynamo
GB,Brennstoffzelle
GB,Batterie
GB,Elektrobatterie
GBA,Batterie
GBB,Brennstoffzelle
GBB,"Erzeugungsobjekt für durch chemische Energie erzeugte elektrische Energie, das kontinuierlich durch Kraftstoff oder Oxidationsmittel angetrieben wird"
GC,kristallines Photovoltaik-Modul
GC,Solarzelle
GC,Dünnschicht-Photo-voltaik-Modul
GCA,Solarzelle
GCB,Solarzelle
GF,Elektromagnetwellenmesswertgeber
GF,Radio-wellenmesswertgeber
GF,Signalerzeuger
GF,Fernsehstation
GF,Lasermesswertgeber
GFA,Fernsehstation
GFA,Lasersender
GFA,Radiowellensender
GFB,Signalgenerator
GFB,Signalerzeugungsobjekt mit Drähten
GL,Rolltreppe
GL,Rollenförderer
GL,Kettenförderer
GL,Gurtförderer
GL,Förderschnecke
GL,Vibrationsförderer
GL,Förderband
GL,Paternoster
GLA,Förderband
GLB,Kettenförderer
GLB,Kontinuierliches Beförderungsobjekt mit Kette
GLC,Rollenförderer
GLC,Kontinuierliches Beförderungsobjekt mit Rollen
GLD,Kontinuierliches Beförderungsobjekt mit Antriebsschnecke
GLD,Schneckenförderer
GLE,"Kontinuierliches Beförderungsobjekt, bestehend aus aneinandergereihten Stufen"
GLE,Rolltreppe
GLF,Paternoster
GLF,"Kontinuierliches Beförderungsobjekt, bestehend aus aneinandergereihten Behältern"
GLG,Kontinuierliches Beförderungsobjekt mit einer vibrierenden Oberfläche
GLG,Vibrationsförderer
GM,Kran
GM,Hub
GM,Palletiergerät
GM,Stapelgerät
GM,Vibrationsförderer
GM,Wagen
GM,Drehscheibe
GM,Aufzug
GMA,Nicht kontinuierliches Beförderungsobjekt für horizontale Bewegungen
GMA,Wagen
GMB,Hubgerät
GMC,Kran
GMC,"Nicht kontinuierliches Beförderungsobjekt, mit dem Objekte vertikal und/oder horizontal bewegt werden"
GMD,Stapler
GME,Nicht kontinuierliches Beförderungsobjekt mit Förderfluss
GME,Drehscheibe
GMF,"Nicht kontinuierliches Beförderungsobjekt, das Objekte durch Vibration in einem linearen Durchfluss bewegt"
GMF,Vibrationsförderer
GP,Peristaltikpumpe
GP,Strömungspumpe
GP,Laufrad
GP,Strahlpumpe
GP,Zentrifugalpumpe
GP,axiale Strömungspumpe
GP,Kolbenpumpe
GP,Verdrängerpumpe
GP,radiale Strömungspumpe
GP,Rotationspumpe
GP,Schraubpumpe
GP,Schmiervorrichtung
GP,Öler
GP,Vakuumpumpe
GPA,Peristaltikpumpe
GPA,Kolbenpumpe
GPA,Rotationspumpe
GPA,Schraubpumpe
GPA,Vakuumpumpe
GPB,Vakuumpumpe
GPB,radiale Strö-mungspumpe
GPB,Laufrad
GPB,Axiale Strömungspumpe
GPB,Zentrifu-galpumpe
GPC,Flüssigkeitsstrom-Erzeugungsobjekt zum Übertragen der kinetischen Energie eines Eingansstroms an einen Ausgangsstrom
GPC,Strahlpumpe
GPD,Öler
GQ,Ventilator
GQ,Käfigläuferlüfter
GQ,Propeller
GQ,mechanischer Lüfter
GQ,offener Propellerlüfter
GQ,geschlossener Propellerlüfter
GQ,Gaskompressor
GQ,Luftvorhang
GQ,Gasstrahler
GQA,Gaskompressor
GQA,Gasstrom-Erzeugungsobjekt zum Verdrängen eingeschlossener Gase zur Auslassseite
GQB,Ventilator
GQB,geschlossener Pro-pellerlüfter
GQB,offener Propellerlüfter
GQB,Propeller
GQB,Luftvorhang
GQB,Käfigläuferlüfter
GQC,Gasstrom-Erzeugungsobjekt zum Übertragen der kinetischen Energie eines Eingansstroms an einen Ausgangsstrom
GQC,Gasstrahler
GR,Solarmodul
GR,Solarturm
GR,Flachsolarmodul
GRA,Flachsolarpanel
GRB,"Erzeugungsobjekt für durch Solarenergie erzeugte Wärmeenergie, das einen Flüssigkeitsdurchfluss erzeugt"
GRB,Solarturm
H,Stoffbearbeitungsobjekt
H,Objekt zur Behandlung von Stoffen
HJ,Spanplattenpresse
HJ,Sinterpresse
HJ,3D-Drucker
HJ,Gießwerkzeug
HJ,Presse
HJA,3D-Drucker
HJB,Spanplattenpresse
HJB,Sinterpresse
HJB,3D-Drucker
HK,Poliermaschine
HK,elektro-statische Beschichtungsmaschine
HK,Geschirrspüler
HK,Eloxierer
HK,Luftpistole
HK,Hämmermaschine
HK,Staub-sauger
HK,Ölbeschichtungsmaschine
HK,Oberflächenvorbereitungsmaschine
HK,Ultraschall-Entfetter
HK,Dampf-Entfetter
HK,Fensterwischer
HK,Draht-bürste
HK,Oberflächen-bearbeitungsmaschine
HK,Oberflächenbeschichtungsmaschine
HK,Dusche
HK,Sandpapier
HK,Polierer
HKA,Staubsauger
HKA,Dusche
HKA,Ultraschall-Entfetter
HKA,Dampf-Entfetter
HKA,Fensterwischer
HKA,Geschirrspüler
HKB,Drahtbürste
HKB,Sandpapier
HKB,Polierer
HKB,Poliermaschine
HKB,Hämmermaschine
HKC,Eloxierer
HKC,elektrostatische Beschichtungsmaschine
HKC,Ölbeschichtungsmaschine
HKC,Luftpistole
HL,Crimpmaschine
HL,Induktionslötmaschine
HL,Druckschweißer (Kaltschweißer)
HL,mechanische Fügemaschine
HL,Ultraschall-Schweißmaschine
HL,Klebema-schine
HL,Reibschweißmaschine
HL,Lichtbogenschweißgerät
HL,Lötmaschine
HL,Thermo-Schweißmaschine
HL,Montageroboter
HL,chemische Fügemaschine
HLA,Montageroboter
HLA,Montierobjekt zur physikalischen Montage
HLB,Crimpmaschine
HLB,Reibschweißmaschine
HLB,Druck-/Kalt-schweißer
HLB,Ultraschallschweißmaschine
HLC,Lichtbogenschweißgerät
HLC,Lötmaschine
HLC,Induktionslötmaschine
HLD,Klebmaschine
HM,Zentrifuge
HM,Zyklon
HM,Hydrozyklon
HM,Absetzbecken
HMA,Krafttrennobjekt zum Trennen von Partikeln durch Gravitation
HMA,Absetzbecken
HMB,Zentrifuge
HMB,Krafttrennobjekt zum Rotieren von Substanzen in einer Rotationskammer
HMC,Hydrozyklon
HP,Verdampfer
HP,Trockner
HP,Destillationskolonne
HP,Destilliergerät
HPA,Thermisches Trennobjekt zum Entfernen von Feuchtigkeit
HPA,Trockner
HPB,Destilliergerät
HPB,Verdampfer
HQ,Rechen
HQ,Trenngitter
HQ,Sack
HQ,Filter
HQ,Beutelfilter
HQ,Abstreifer
HQA,Mechanisches Trennobjekt zum Entfernen von Substanzen von der Oberfläche von Flüssigkeiten
HQA,Abstreifer
HQB,Sack
HQB,Rechen
HQB,Filter
HQB,Beutelfilter
HR,Elektrostatischer Filter
HR,elektrostatischer Separator
HR,magnetischer Separator
HRA,elektrostatischer Filter
HRB,Elektrisches oder magnetisches Trennobjekt mit einem magnetischen Feld
HRB,Magnetabscheider
HS,Absorber
HS,Absorptionswaschgerät
HS,Adsorber
HS,Elektrolysator
HS,Ionenaustauscher
HSA,Elektrolysator
HSB,Absorptionswäscher
HSC,Adsorber
HSC,Chemisches Trennobjekt zur Adsorption
HU,Wassermühle
HU,Abfallzerkleinerer
HU,Steinbrecher
HU,Schneidmaschine
HU,Getreidemühle
HU,Zerkleinerungsmaschine
HU,Mühle
HUA,Abfallzerkleinerer
HUB,Wassermühle
HUB,Getreidemühle
HUC,Steinbrecher
HV,Flokkulationsapparat
HV,Pelletiergerät
HV,Flokkulator
HVA,Anhäufungsobjekt zum Komprimieren oder Formen eines Materials in Pelletform
HVA,Pelletiergerät
HVB,Flokkulierapparat
HW,Knetmaschine
HW,Luftbefeuchter
HW,Mischgerät
HWA,Knetmaschine
HWB,Mischobjekt zur Erzeugung einer feuchten gasförmigen Substanz
HWB,Befeuchter
HX,Chemiereaktor
HX,Fermentiergerät
HX,Vergaser
HXA,Vergaser
HXB,Fermentierer
HXB,Reaktionsobjekt zum Erzeugen und Kontrollieren einer biologischen Reaktion
K,Informationsverarbeitungsobjekt
K,Objekt zur Verarbeitung von Eingangssignalen und Bereitstellung eines geeigneten Ausgangs
KE,Datennetz-Gateway
KE,Kommunikationsgerät
KE,CD-Brenner
KE,Computer
KE,Distanzschutz- und -steuereinheit
KE,Ethernet-Karte
KE,Firewall
KE,FireWire-Karte
KE,I/O-Gerät
KE,zentrale Verarbeitungseinheit (CPU)
KE,Schreibgerät für optische Platten
KE,I/O-Modul
KE,persönlicher Computer
KE,USB-Karte
KE,Tonbandgerät
KE,Tablet-Computer
KE,Synchronisierungsrelais
KE,Synchronisie-rungsgerät
KE,Sicherheitsgerät
KE,Router
KE,PC
KE,Kartenschreibgerät
KE,Fernbedie-nungsmodul (RTU)
KE,optischer CD-Brenner
KE,speicherprogram-mierbare Steuerung (SPS)
KEA,PC
KEA,Tablet-Computer
KEA,Personal-Computer
KEB,Synchronisierungsrelais
KEB,Fernbedienungsmodul (RTU)
KEB,speicherprogrammierbare Steuerung (SPS)
KEB,Distanzschutz- und –steuer-einheit
KEB,Zentrale Verarbeitungseinheit (CPU)
KEB,Synchronisierungsgerät
KEC,Ethernet-Karte
KEC,FireWire-Karte
KEC,I/O-Gerät
KEC,FireWire-Karte
KEC,USB-Karte
KEC,I/O-Gerät
KEC,I/O-Modul
KEC,USB-Karte
KEC,Ethernet-Karte
KEC,I/O-Modul
KED,Datennetz-Gateway
KED,Firewall
KED,Sicherheitsgerät
KEE,CD-Brenner
KEE,Schreibgerät für optische Platten
KEE,Tonbandgerät
KF,Zeitrelais
KF,Repeater
KF,elektrischer Netzwerk-schalter
KF,elektrische Netzwerkbrücke
KF,Koppler
KF,Relais
KFA,Koppler
KFB,Zeitrelais
KFB,Elektrische Signale weiterleitendes Objekt zur verzögerten Weiterleitung
KFC,Repeater
KFC,Elektrische Signale weiterleitendes Objekt zur Umwandlung des Eingangssignals in ein verstärktes Ausgangssignal
KFD,Elektrische Netzwerkbrücke
